fid,fb_certificate,like_avg_count,comment_avg_count,share_avg_count,friendtag_avg_count,class1_post_count,class2_post_count,class3_post_count,total_post_count,start_fans,stop_fans,fan_growth_rate
1467953320116760,1,54.34920635,0.476190476,3.936507937,0.079365079,17,23,23,63,33493,34481,0.029498701
1025203670852550,2,220.1111111,9.825396825,16.82539683,2.682539683,12,25,26,63,468283,472273,0.008520489
157941490891336,2,487.2539683,27.95238095,173.952381,1.904761905,44,3,16,63,703604,730172,0.037759876
143039229176602,2,1391.047619,122.1269841,89.88888889,108.0793651,31,6,26,63,985003,1028531,0.044190728
424811310898359,0,556.9365079,15.92063492,63.12698413,16.82539683,4,17,42,63,119038,126057,0.058964364
134700029778,0,320.7142857,9.571428571,8.873015873,4.523809524,3,10,50,63,324493,326930,0.007510177
277838997160,2,89.58730159,31.3968254,28.9047619,19.77777778,7,37,19,63,148380,152010,0.024464214
121431141207349,2,3134.171875,97.1875,69.125,33.359375,3,35,26,64,1050408,1061192,0.010266487
1536078920006610,2,2241.765625,214.78125,316.21875,45.890625,13,19,32,64,819866,827455,0.009256391
134004310003557,2,413.96875,8.859375,8.3125,7.796875,8,43,13,64,192111,193832,0.008958363
1398100367093680,0,89.0625,8.984375,7.1875,8.546875,13,28,23,64,85118,87192,0.024366174
121641016343,2,792.890625,154.546875,83.90625,54.328125,29,6,29,64,23272482,24788718,0.065151452
163584773850525,2,618.796875,5.59375,15.859375,2.8125,21,22,21,64,1527740,1587201,0.03892089
265151445181,2,561.296875,42.90625,33.109375,37.546875,9,34,21,64,754289,833602,0.105149353
183235385026651,2,170.421875,86.671875,75.4375,23.515625,6,26,32,64,1356528,1420429,0.047106289
1486286001666250,2,476.203125,188.171875,145.640625,202.796875,18,7,39,64,336946,355650,0.055510379
153845928748,0,252.4375,72.71875,78.578125,11.03125,10,6,48,64,42323,50316,0.188857123
131580750222123,1,588.921875,36.765625,22.59375,46.890625,23,16,25,64,406966,411959,0.012268838
686520461516680,2,542.359375,27.40625,15.015625,5.484375,16,20,28,64,1108464,1143165,0.031305482
1175328232493910,2,1203.421875,155.3125,94.296875,88.5625,19,3,42,64,671853,712441,0.060412025
135126653278490,0,463.2307692,5.830769231,12.36923077,1.907692308,17,33,15,65,151993,154617,0.017263953
119474188105563,0,3063.907692,88.21538462,35.78461538,109.9538462,30,33,2,65,710247,791468,0.114355992
143653685699398,0,192.2769231,112.6769231,115.6461538,52.8,48,7,10,65,101804,103773,0.019341087
194837111116,2,129.9692308,19.69230769,18.23076923,27.32307692,23,7,35,65,10004567,10370531,0.036579694
180080052032125,2,359.9230769,47.24615385,29.96923077,25.95384615,24,13,28,65,1147388,1179051,0.027595722
267654926582726,2,3204.753846,961.8153846,732.7384615,2548.153846,6,9,50,65,2420326,2458344,0.015707801
144908898861624,0,117.2,13.70769231,6.153846154,1.4,4,49,12,65,83655,88375,0.05642221
575320992530108,2,398.9846154,3.123076923,2.123076923,1.907692308,14,41,10,65,283695,291533,0.027628263
124885954253956,2,2054.569231,45.47692308,53,33.90769231,14,16,35,65,923237,970413,0.051098472
360450250740751,0,124.3538462,2.553846154,7.569230769,0.738461538,28,14,23,65,20918,22561,0.078544794
116597425020412,0,70.67692308,7.338461538,16.69230769,8.138461538,31,2,32,65,22314,22742,0.019180783
118148074867387,0,71.23076923,23.70769231,19.01538462,15.12307692,10,11,44,65,196028,198632,0.013283817
267009673341918,0,173.8769231,1.6,22.81538462,1.246153846,28,30,7,65,182102,187148,0.027709745
191228817579105,1,515.5538462,99.18461538,105.0923077,168.4769231,31,14,20,65,293768,301687,0.026956646
219449834741698,2,784.0153846,328.1076923,208.4923077,241.6153846,26,23,16,65,401610,417548,0.039685267
338609223165,2,609.1076923,166.0769231,166.1384615,195.9538462,9,3,53,65,650102,653391,0.005059206
210121695693833,0,48.85074627,9.537313433,9.417910448,12.05970149,15,24,28,67,705762,723795,0.025551106
622567637810519,2,157.3731343,6.104477612,25.91044776,1.895522388,19,23,25,67,158650,159108,0.002886858
152739014741402,2,56.8358209,4.23880597,1.71641791,0.119402985,5,6,56,67,2548166,2677135,0.05061248
343229715569,2,331.4558824,3.544117647,28.73529412,0.308823529,39,25,4,68,982332,1093933,0.11360823
333222276851431,0,138.5797101,29.50724638,30.49275362,30.52173913,38,9,22,69,34530,37685,0.091369823
143932432305117,2,21.76811594,0.173913043,0.449275362,0.028985507,10,53,6,69,6815185,6139910,-0.099083884
